-42.0322	-65.3269	0.733600176	1.140169331	307383.29	5344029.08	187.77	0.052083333	3799.1	-0.012931034	3799.112931	-6.557068966	-6.878365345	980304.6216	980350.9094	57.945822	-21.0001968	-9.342185092	3555738.859	5346533.061
-42.0184	-65.3507	0.733359321	1.140584719	305370.94	5345507.54	161.97	0.059722222	3802.87	-0.014827586	3802.884828	-2.785172414	-2.921645862	980308.5784	980349.6677	49.983942	-18.1147248	-9.220118571	3553779.621	5348081.119
-42.0154	-65.352	0.733306961	1.140607408	305254.14	5345837.7	182.02	0.072916667	3802.51	-0.018103448	3802.528103	-3.141896552	-3.295849483	980308.2042	980349.3978	56.171372	-20.3571168	-5.379346052	3553674.468	5348415.158
-42.0177	-65.3536	0.733347103	1.140635333	305128.68	5345578.67	169.46	0.090277778	3804.34	-0.022413793	3804.362414	-1.307586207	-1.371657931	980310.1283	980349.6047	52.295356	-18.9524064	-6.133412398	3553540.009	5348160.689
-42.0216	-65.3577	0.733415171	1.140706892	304801.13	5345136.27	191.08	0.099305556	3799.94	-0.024655172	3799.964655	-5.705344828	-5.984906724	980305.5151	980349.9556	58.967288	-21.3703872	-6.843633241	3553197.162	5347730.055
-42.0223	-65.3547	0.733427388	1.140654532	305051.66	5345065.38	186.18	0.105555556	3802.1	-0.026206897	3802.126207	-3.543793103	-3.717438966	980307.7826	980350.0186	57.455148	-20.8223712	-5.603276256	3553445.045	5347650.434
-42.0251	-65.3547	0.733476258	1.140654532	305060.21	5344754.47	187.75	0.115277778	3801.9	-0.02862069	3801.928621	-3.74137931	-3.924706897	980307.5753	980350.2706	57.93965	-20.99796	-5.753579758	3553442.7	5347339.426
-42.0264	-65.3587	0.733498947	1.140724345	304733.03	5344601	197.25	0.123611111	3799.91	-0.030689655	3799.94069	-5.729310345	-6.010046552	980305.49	980350.3875	60.87135	-22.06044	-6.086676538	3553110.343	5347197.519
-42.0285	-65.3547	0.733535599	1.140654532	305070.61	5344376.94	196.32	0.128472222	3800.21	-0.031896552	3800.241897	-5.428103448	-5.694080517	980305.8059	980350.5765	60.584352	-21.9564288	-6.142661569	3553439.853	5346961.772
-42.0303	-65.3547	0.733567015	1.140654532	305076.11	5344177.07	195.23	0.134027778	3800.09	-0.033275862	3800.123276	-5.546724138	-5.818513621	980305.6815	980350.7385	60.247978	-21.8345232	-6.643533639	3553438.345	5346761.838
-42.0271	-65.3519	0.733511164	1.140605663	305298.14	5344538.77	192.88	0.138888889	3800.38	-0.034482759	3800.414483	-5.255517241	-5.513037586	980305.987	980350.4505	59.522768	-21.5716992	-6.512496694	3553672.911	5347115.524
-42.0248	-65.3506	0.733471022	1.140582973	305398.75	5344797.12	181.88	0.145833333	3803.24	-0.036206897	3803.276207	-2.393793103	-2.511088966	980308.9889	980350.2436	56.128168	-20.3414592	-5.467948388	3553782.51	5347370.179
-42.0234	-65.3506	0.733446587	1.140582973	305394.48	5344952.58	174.59	0.152777778	3804.84	-0.037931034	3804.877931	-0.792068966	-0.830880345	980310.6691	980350.1176	53.878474	-19.5261456	-5.096145591	3553783.69	5347525.684
-42.03	-65.3503	0.733561779	1.140577737	305439.45	5344220.4	193.91	0.159722222	3800.24	-0.039655172	3800.279655	-5.390344828	-5.654471724	980305.8455	980350.7115	59.840626	-21.6868944	-6.712219772	3553802.971	5346792.403
-42.0286	-65.3475	0.733537344	1.140528868	305666.99	5344382.22	187.07	0.170138889	3802.27	-0.042241379	3802.312241	-3.357758621	-3.522288793	980307.9777	980350.5855	57.729802	-20.9219088	-5.799898181	3554036.031	5346946.143
-42.0307	-65.3472	0.733573996	1.140523632	305698.22	5344149.72	193.21	0.177777778	3800.14	-0.044137931	3800.184138	-5.485862069	-5.75466931	980305.7453	980350.7745	59.624606	-21.6086064	-7.013138138	3554059.096	5346712.697
-42.0313	-65.3429	0.733584468	1.140448583	306056.02	5344092.86	190.91	0.182638889	3800.13	-0.045344828	3800.175345	-5.494655172	-5.763893276	980305.7361	980350.8285	58.914826	-21.3513744	-7.52890062	3554414.674	5346643.327
-42.0303	-65.3381	0.733567015	1.140364807	306450.35	5344214.77	189.96	0.190972222	3799.78	-0.047413793	3799.827414	-5.842586207	-6.128872931	980305.3711	980350.7385	58.621656	-21.2451264	-7.99081815	3554813.025	5346751.338
-42.0253	-65.342	0.733479748	1.140432875	306112.29	5344761.13	170.31	0.197916667	3805.49	-0.049137931	3805.539138	-0.130862069	-0.13727431	980311.3627	980350.2886	52.557666	-19.0474704	-5.415638015	3554494.328	5347309.202
-42.022	-65.3421	0.733422152	1.140434621	306093.97	5345127.34	158.63	0.204861111	3807.21	-0.050862069	3807.260862	1.590862069	1.66881431	980313.1688	980349.9916	48.953218	-17.7411792	-5.610766628	3554488.864	5347675.811
-42.0218	-65.3471	0.733418662	1.140521887	305679.38	5345138.2	176.96	0.227777778	3803.24	-0.056551724	3803.296552	-2.373448276	-2.489747241	980309.0103	980349.9736	54.609856	-19.7912064	-6.144721162	3554074.919	5347701.198
-42.0301	-65.3321	0.733563524	1.140260088	306946.46	5344250.54	189.44	0.245138889	3799.14	-0.060862069	3799.200862	-6.469137931	-6.78612569	980304.7139	980350.7205	58.461184	-21.1869696	-8.732389324	3555310.07	5346769.692
-42.0303	-65.3294	0.733567015	1.140212964	307170.59	5344234.42	188.62	0.249305556	3798.62	-0.061896552	3798.681897	-6.988103448	-7.330520517	980304.1695	980350.7385	58.208132	-21.0952608	-9.456124136	3555533.489	5346745.729
